,0,1
91,0963583204,"(17.27, 17.27, 17.27, 28.12, 0.0)"
92,0972291482,"(11.41, 11.41, 11.41, 56.87, 0.0)"
93,B007BWETIO,"(254.65, 254.65, 254.65, 236.74, 0.0)"
94,0062003224,"(0.52, 0.52, 0.52, 54.66, 0.0)"
95,0716710455,"(0.67, 0.67, 0.67, 43.47, 0.0)"
96,0847831884,"(220.88, 220.88, 220.88, 206.28, 0.0)"
97,B004SUOXRO,"(253.05, 253.05, 253.05, 180.69, 0.0)"
98,1419709631,"(250.36, 250.36, 250.36, 180.55, 0.0)"
99,1581315309,"(254.34, 254.34, 254.34, 245.91, 0.0)"
100,1593720602,"(229.54, 229.54, 229.54, 161.45, 0.0)"
101,0385346379,"(85.48, 85.48, 85.48, 111.14, 0.0)"
102,1879356155,"(25.09, 25.09, 25.09, 60.04, 0.0)"
103,3631574819,"(1.25, 1.25, 1.25, 7.27, 0.0)"
104,1893106004,"(254.12, 254.12, 254.12, 241.2, 0.0)"
105,0977164152,"(254.36, 254.36, 254.36, 229.0, 0.0)"
106,0195169352,"(254.45, 254.45, 254.45, 243.73, 0.0)"
107,1598428284,"(253.95, 253.95, 253.95, 226.35, 0.0)"
108,1435369645,"(254.69, 254.69, 254.69, 250.67, 0.0)"
109,080478874X,"(253.06, 253.06, 253.06, 191.74, 0.0)"
110,0309371252,"(254.75, 254.75, 254.75, 247.65, 0.0)"
111,0385022670,"(252.28, 252.28, 252.28, 156.92, 0.0)"
112,1517314348,"(2.23, 2.23, 2.23, 59.09, 0.0)"
113,1610392876,"(0.35, 0.35, 0.35, 9.01, 0.0)"
114,098269671X,"(3.08, 3.08, 3.08, 85.46, 0.0)"
115,1566379784,"(254.18, 254.18, 254.18, 226.65, 0.0)"
116,1585624020,"(41.16, 41.16, 41.16, 56.23, 0.0)"
117,1781165726,"(14.18, 14.18, 14.18, 90.69, 0.0)"
118,0827606869,"(4.94, 4.94, 4.94, 12.6, 0.0)"
119,0300104669,"(67.2, 67.2, 67.2, 98.99, 0.0)"
120,1512041580,"(251.45, 251.45, 251.45, 178.19, 0.0)"
121,1421539640,"(0.91, 0.91, 0.91, 39.12, 0.0)"
122,0857086065,"(254.26, 254.26, 254.26, 245.04, 0.0)"
123,B0062PROF6,"(253.74, 253.74, 253.74, 220.47, 0.0)"
124,1439191220,"(250.31, 250.31, 250.31, 136.07, 0.0)"
125,150536776X,"(0.87, 0.87, 0.87, 44.15, 0.0)"
126,1481026372,"(182.8, 182.8, 182.8, 158.21, 0.0)"
127,1628926392,"(254.33, 254.33, 254.33, 215.08, 0.0)"
128,1939425662,"(75.46, 75.46, 75.46, 111.95, 0.0)"
129,1428052410,"(254.22, 254.22, 254.22, 250.85, 0.0)"
